epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,444.482,1.10261,3.07039,1.37515,0.18668,0.34798,0.19222,0.13695,0.93419,2.89937,1.25084,0.000329545,0.000329545,0.000329545
2,979.635,1.05887,2.41317,1.34313,0.20186,0.62412,0.25403,0.20759,0.71262,2.15958,1.08428,0.000608191,0.000608191,0.000608191
3,1536.25,0.66869,2.11723,1.04554,0.44532,0.59727,0.52263,0.40871,0.75843,2.0928,1.09696,0.000831837,0.000831837,0.000831837
4,1895.52,0.64605,1.7039,1.0121,0.68528,0.70994,0.7606,0.64056,0.62171,1.64178,0.98284,0.0007525,0.0007525,0.0007525
5,2519.3,0.58839,1.34947,0.97489,0.7884,0.85046,0.88289,0.75815,0.58269,1.32076,0.96298,0.00067,0.00067,0.00067
6,3100.45,0.53996,1.09823,0.95078,0.90705,0.88227,0.96251,0.83877,0.526,0.95281,0.92309,0.0005875,0.0005875,0.0005875
7,3673.5,0.50294,0.93616,0.91774,0.94173,0.96433,0.98872,0.87861,0.50092,0.7619,0.91364,0.000505,0.000505,0.000505
8,4227.21,0.46645,0.81222,0.90475,0.99301,0.94863,0.99193,0.89746,0.45104,0.66848,0.89687,0.0004225,0.0004225,0.0004225
9,4784.11,0.43821,0.73061,0.89213,0.95167,0.96456,0.98915,0.901,0.42965,0.64152,0.88832,0.00034,0.00034,0.00034
10,5345.74,0.41267,0.65113,0.88409,0.99138,0.98326,0.99464,0.91152,0.42537,0.57161,0.87984,0.0002575,0.0002575,0.0002575
11,5908.41,0.39511,0.60837,0.86821,0.98939,0.97532,0.99451,0.92497,0.37611,0.54155,0.863,0.000175,0.000175,0.000175
12,6506.29,0.37183,0.57608,0.86918,0.9897,0.99236,0.99488,0.92916,0.36808,0.52209,0.86102,9.25e-05,9.25e-05,9.25e-05
