epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1629.31,0.45554,3.42705,0.91845,0.62287,0.48689,0.56744,0.55498,0.24709,2.82585,0.78421,0.000207837,0.000207837,0.000207837
2,3125.68,0.37396,2.24945,0.8678,0.85156,0.83027,0.91407,0.89459,0.2571,1.66039,0.78463,0.000388703,0.000388703,0.000388703
3,4548.67,0.36553,1.69056,0.8617,0.92829,0.90894,0.97283,0.95392,0.23833,1.20189,0.78281,0.000542069,0.000542069,0.000542069
4,5937.11,0.34163,1.40083,0.85197,0.97544,0.94481,0.98807,0.97669,0.21443,0.84671,0.76969,0.00050125,0.00050125,0.00050125
5,7267.69,0.3117,1.15449,0.84457,0.97646,0.9722,0.98977,0.98175,0.19129,0.68109,0.76564,0.00046,0.00046,0.00046
6,8596.73,0.24117,0.73107,0.79562,0.98581,0.97783,0.99402,0.9807,0.19773,0.52789,0.76945,0.00041875,0.00041875,0.00041875
7,9923.96,0.22599,0.57197,0.78974,0.99501,0.98555,0.99456,0.98537,0.18534,0.41505,0.76363,0.0003775,0.0003775,0.0003775
8,11252.9,0.208,0.4707,0.78737,0.99097,0.99372,0.99492,0.99077,0.14725,0.3293,0.76094,0.00033625,0.00033625,0.00033625
9,12507.3,0.19706,0.41116,0.78916,0.99595,0.99318,0.99485,0.99086,0.14326,0.28726,0.76054,0.000295,0.000295,0.000295
10,13743.4,0.1814,0.35462,0.78554,0.99504,0.99507,0.99498,0.99244,0.13981,0.25842,0.75875,0.00025375,0.00025375,0.00025375
11,14931.3,0.16783,0.326,0.78144,0.99674,0.998,0.995,0.99215,0.12859,0.23144,0.75798,0.0002125,0.0002125,0.0002125
12,16156.7,0.16186,0.29891,0.78024,0.99742,0.99724,0.995,0.99237,0.12342,0.22007,0.75698,0.00017125,0.00017125,0.00017125
13,17362.3,0.14971,0.27316,0.77913,0.99869,0.99964,0.995,0.9922,0.11131,0.19258,0.75618,0.00013,0.00013,0.00013
14,18543.8,0.14002,0.24519,0.78075,0.99903,1,0.995,0.9922,0.10461,0.1773,0.75505,8.875e-05,8.875e-05,8.875e-05
15,19770,0.13142,0.22961,0.77746,0.99901,0.99916,0.995,0.99308,0.09794,0.16916,0.75451,4.75e-05,4.75e-05,4.75e-05
