epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5866.74,1.05966,2.26471,1.30863,0.98491,0.98027,0.99432,0.82846,0.65842,1.24767,1.0387,0.000237763,0.000237763,0.000237763
2,8750.05,0.88917,1.1554,1.16201,0.97932,0.99113,0.99486,0.84009,0.62848,0.71986,1.00703,0.000444362,0.000444362,0.000444362
3,12671.7,0.86051,0.89255,1.13454,0.99587,0.99991,0.995,0.8517,0.59191,0.47106,0.9631,0.000619546,0.000619546,0.000619546
4,17034.4,0.82112,0.75722,1.11116,0.99495,0.99987,0.99497,0.85831,0.58112,0.40681,0.95683,0.000572628,0.000572628,0.000572628
5,21737.6,0.79504,0.67968,1.09685,0.99735,1,0.995,0.85985,0.57419,0.34154,0.95446,0.000525504,0.000525504,0.000525504
6,26427.9,0.62394,0.40098,0.97809,0.99682,0.99918,0.9947,0.87092,0.53953,0.31581,0.93356,0.00047838,0.00047838,0.00047838
7,30879.8,0.59194,0.34805,0.95878,0.99704,1,0.99495,0.86581,0.54824,0.28344,0.93788,0.000431256,0.000431256,0.000431256
8,35285,0.56799,0.3164,0.94439,0.99737,1,0.995,0.87433,0.5213,0.2596,0.92105,0.000384132,0.000384132,0.000384132
9,39791.8,0.54786,0.29683,0.93728,0.99849,0.99907,0.995,0.87772,0.5107,0.248,0.92312,0.000337008,0.000337008,0.000337008
10,44526.8,0.53272,0.27483,0.92549,0.99875,1,0.995,0.88259,0.49692,0.23432,0.9083,0.000289884,0.000289884,0.000289884
11,49302.6,0.51868,0.26142,0.91931,0.99857,1,0.995,0.88386,0.48232,0.22203,0.90785,0.00024276,0.00024276,0.00024276
12,54049.5,0.50367,0.24772,0.91023,0.99832,1,0.995,0.89415,0.46872,0.21211,0.90172,0.000195636,0.000195636,0.000195636
13,58449.4,0.48973,0.23339,0.9019,0.99873,1,0.995,0.89406,0.46473,0.20231,0.90125,0.000148512,0.000148512,0.000148512
