epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,698.401,0.44319,3.18157,0.84044,0.50555,0.60585,0.60409,0.56922,0.3549,2.06819,0.79241,0.000207837,0.000207837,0.000207837
2,1221.12,0.37975,1.82362,0.81534,0.84361,0.75326,0.88752,0.83419,0.34797,1.30334,0.8013,0.00037497,0.00037497,0.00037497
3,1784.04,0.36317,1.28407,0.81778,0.90855,0.8714,0.94706,0.8962,0.32986,1.03362,0.79974,0.000500852,0.000500852,0.000500852
4,2307.04,0.33498,1.0089,0.81876,0.94299,0.94404,0.9844,0.95785,0.26423,0.75663,0.78728,0.000439375,0.000439375,0.000439375
5,2851.11,0.3073,0.81873,0.80749,0.97541,0.95585,0.9898,0.96701,0.24421,0.61115,0.78024,0.0003775,0.0003775,0.0003775
6,3359.04,0.27885,0.68216,0.80177,0.98563,0.9764,0.99265,0.97653,0.21877,0.51127,0.77763,0.000315625,0.000315625,0.000315625
7,3824.66,0.2559,0.60226,0.79472,0.99031,0.98093,0.99356,0.98118,0.19276,0.44268,0.7743,0.00025375,0.00025375,0.00025375
8,4289.4,0.2336,0.52202,0.7896,0.99482,0.98572,0.99464,0.98375,0.18394,0.39384,0.77235,0.000191875,0.000191875,0.000191875
9,4759.48,0.22093,0.46771,0.78851,0.99287,0.98928,0.99478,0.98461,0.16535,0.35569,0.77045,0.00013,0.00013,0.00013
10,5241.77,0.20277,0.42547,0.78728,0.99723,0.99384,0.9949,0.98811,0.14985,0.32932,0.7677,6.8125e-05,6.8125e-05,6.8125e-05
